Nombre,Categoria,Unidad (KG/L/UD),Precio,Merma (%),Alergenos (Separados por coma)
"Tomillo Monodosis 2,5 Kg",Condimentos y especias,UD,11.62,0,
Tomillo Monodosis 5 Kg,Condimentos y especias,UD,2.17,0,
Tomillo Monodosis 10 Kg,Condimentos y especias,UD,18.11,0,
Tomillo Molido 100 G,Condimentos y especias,KG,23.85,0,
Tomillo Molido 200 G,Condimentos y especias,KG,14.62,0,
Tomillo Molido 250 G,Condimentos y especias,KG,2.97,0,
Tomillo Molido 400 G,Condimentos y especias,KG,8.35,0,
Tomillo Molido 500 G,Condimentos y especias,KG,11.83,0,
Tomillo Molido 1 Kg,Condimentos y especias,KG,6.17,0,
"Tomillo Molido 2,5 Kg",Condimentos y especias,KG,6.56,0,
Tomillo Molido 5 Kg,Condimentos y especias,KG,19.2,0,
Tomillo Molido 10 Kg,Condimentos y especias,KG,3.41,0,
Tomillo En Grano 100 G,Condimentos y especias,KG,6.96,0,
Tomillo En Grano 200 G,Condimentos y especias,KG,21.55,0,
Tomillo En Grano 250 G,Condimentos y especias,KG,11.27,0,
Tomillo En Grano 400 G,Condimentos y especias,KG,14.12,0,
Tomillo En Grano 500 G,Condimentos y especias,KG,17.99,0,
Tomillo En Grano 1 Kg,Condimentos y especias,KG,11.51,0,
"Tomillo En Grano 2,5 Kg",Condimentos y especias,KG,22.87,0,
Tomillo En Grano 5 Kg,Condimentos y especias,KG,23.55,0,
Tomillo En Grano 10 Kg,Condimentos y especias,KG,9.93,0,
Romero Bote 100 G,Condimentos y especias,UD,20.33,0,
Romero Bote 200 G,Condimentos y especias,UD,17.51,0,
Romero Bote 250 G,Condimentos y especias,UD,13.96,0,
Romero Bote 400 G,Condimentos y especias,UD,2.13,0,
Romero Bote 500 G,Condimentos y especias,UD,24.24,0,
Romero Bote 1 Kg,Condimentos y especias,UD,21.1,0,
"Romero Bote 2,5 Kg",Condimentos y especias,UD,14.88,0,
Romero Bote 5 Kg,Condimentos y especias,UD,3.38,0,
Romero Bote 10 Kg,Condimentos y especias,UD,21.31,0,
Romero A Granel 100 G,Condimentos y especias,KG,19.07,0,
Romero A Granel 200 G,Condimentos y especias,KG,15.78,0,
Romero A Granel 250 G,Condimentos y especias,KG,21.27,0,
Romero A Granel 400 G,Condimentos y especias,KG,12.97,0,
Romero A Granel 500 G,Condimentos y especias,KG,22.84,0,
Romero A Granel 1 Kg,Condimentos y especias,KG,4.53,0,
"Romero A Granel 2,5 Kg",Condimentos y especias,KG,14.65,0,
Romero A Granel 5 Kg,Condimentos y especias,KG,17.01,0,
Romero A Granel 10 Kg,Condimentos y especias,KG,2.07,0,
Romero Monodosis 100 G,Condimentos y especias,UD,22.04,0,
Romero Monodosis 200 G,Condimentos y especias,UD,1.13,0,
Romero Monodosis 250 G,Condimentos y especias,UD,13.48,0,
Romero Monodosis 400 G,Condimentos y especias,UD,2.95,0,
Romero Monodosis 500 G,Condimentos y especias,UD,17.54,0,
Romero Monodosis 1 Kg,Condimentos y especias,UD,17.1,0,
"Romero Monodosis 2,5 Kg",Condimentos y especias,UD,14.23,0,
Romero Monodosis 5 Kg,Condimentos y especias,UD,8.7,0,
Romero Monodosis 10 Kg,Condimentos y especias,UD,9.51,0,
Romero Molido 100 G,Condimentos y especias,KG,11.9,0,
Romero Molido 200 G,Condimentos y especias,KG,6.06,0,
Romero Molido 250 G,Condimentos y especias,KG,17.8,0,
Romero Molido 400 G,Condimentos y especias,KG,7.31,0,
Romero Molido 500 G,Condimentos y especias,KG,11.67,0,
Romero Molido 1 Kg,Condimentos y especias,KG,10.7,0,
"Romero Molido 2,5 Kg",Condimentos y especias,KG,3.54,0,
Romero Molido 5 Kg,Condimentos y especias,KG,8.36,0,
Romero Molido 10 Kg,Condimentos y especias,KG,14.35,0,
Romero En Grano 100 G,Condimentos y especias,KG,24.29,0,
Romero En Grano 200 G,Condimentos y especias,KG,1.03,0,
Romero En Grano 250 G,Condimentos y especias,KG,20.63,0,
Romero En Grano 400 G,Condimentos y especias,KG,11.16,0,
Romero En Grano 500 G,Condimentos y especias,KG,15.75,0,
Romero En Grano 1 Kg,Condimentos y especias,KG,6.76,0,
"Romero En Grano 2,5 Kg",Condimentos y especias,KG,13.91,0,
Romero En Grano 5 Kg,Condimentos y especias,KG,23.09,0,
Romero En Grano 10 Kg,Condimentos y especias,KG,2.84,0,
Albahaca Bote 100 G,Condimentos y especias,UD,18.87,0,
Albahaca Bote 200 G,Condimentos y especias,UD,0.56,0,
Albahaca Bote 250 G,Condimentos y especias,UD,1.95,0,
Albahaca Bote 400 G,Condimentos y especias,UD,18.49,0,
Albahaca Bote 500 G,Condimentos y especias,UD,1.39,0,
Albahaca Bote 1 Kg,Condimentos y especias,UD,11.39,0,
"Albahaca Bote 2,5 Kg",Condimentos y especias,UD,10.55,0,
Albahaca Bote 5 Kg,Condimentos y especias,UD,4.15,0,
Albahaca Bote 10 Kg,Condimentos y especias,UD,19.47,0,
Albahaca A Granel 100 G,Condimentos y especias,KG,24.87,0,
Albahaca A Granel 200 G,Condimentos y especias,KG,1.75,0,
Albahaca A Granel 250 G,Condimentos y especias,KG,10.86,0,
Albahaca A Granel 400 G,Condimentos y especias,KG,24.24,0,
Albahaca A Granel 500 G,Condimentos y especias,KG,1.49,0,
Albahaca A Granel 1 Kg,Condimentos y especias,KG,19.33,0,
"Albahaca A Granel 2,5 Kg",Condimentos y especias,KG,15.38,0,
Albahaca A Granel 5 Kg,Condimentos y especias,KG,4.39,0,
Albahaca A Granel 10 Kg,Condimentos y especias,KG,10.57,0,
Albahaca Monodosis 100 G,Condimentos y especias,UD,18.64,0,
Albahaca Monodosis 200 G,Condimentos y especias,UD,4.82,0,
Albahaca Monodosis 250 G,Condimentos y especias,UD,14.26,0,
Albahaca Monodosis 400 G,Condimentos y especias,UD,16.71,0,
Albahaca Monodosis 500 G,Condimentos y especias,UD,8.59,0,
Albahaca Monodosis 1 Kg,Condimentos y especias,UD,19.9,0,
"Albahaca Monodosis 2,5 Kg",Condimentos y especias,UD,4.27,0,
Albahaca Monodosis 5 Kg,Condimentos y especias,UD,23.14,0,
Albahaca Monodosis 10 Kg,Condimentos y especias,UD,18.69,0,
Albahaca Molido 100 G,Condimentos y especias,KG,6.84,0,
Albahaca Molido 200 G,Condimentos y especias,KG,14.92,0,
Albahaca Molido 250 G,Condimentos y especias,KG,12.39,0,
Albahaca Molido 400 G,Condimentos y especias,KG,20.66,0,
Albahaca Molido 500 G,Condimentos y especias,KG,15.18,0,
Albahaca Molido 1 Kg,Condimentos y especias,KG,22.46,0,
"Albahaca Molido 2,5 Kg",Condimentos y especias,KG,9.68,0,
Albahaca Molido 5 Kg,Condimentos y especias,KG,20.03,0,
Albahaca Molido 10 Kg,Condimentos y especias,KG,16.23,0,
Albahaca En Grano 100 G,Condimentos y especias,KG,15.12,0,
Albahaca En Grano 200 G,Condimentos y especias,KG,17.4,0,
Albahaca En Grano 250 G,Condimentos y especias,KG,20.4,0,
Albahaca En Grano 400 G,Condimentos y especias,KG,10.49,0,
Albahaca En Grano 500 G,Condimentos y especias,KG,20.69,0,
Albahaca En Grano 1 Kg,Condimentos y especias,KG,8.38,0,
"Albahaca En Grano 2,5 Kg",Condimentos y especias,KG,7.26,0,
Albahaca En Grano 5 Kg,Condimentos y especias,KG,18.45,0,
Albahaca En Grano 10 Kg,Condimentos y especias,KG,9.47,0,
Laurel Bote 100 G,Condimentos y especias,UD,22.58,0,
Laurel Bote 200 G,Condimentos y especias,UD,11.81,0,
Laurel Bote 250 G,Condimentos y especias,UD,14.23,0,
Laurel Bote 400 G,Condimentos y especias,UD,24.47,0,
Laurel Bote 500 G,Condimentos y especias,UD,16.84,0,
Laurel Bote 1 Kg,Condimentos y especias,UD,18.31,0,
"Laurel Bote 2,5 Kg",Condimentos y especias,UD,23.89,0,
Laurel Bote 5 Kg,Condimentos y especias,UD,12.37,0,
Laurel Bote 10 Kg,Condimentos y especias,UD,2.14,0,
Laurel A Granel 100 G,Condimentos y especias,KG,1.97,0,
Laurel A Granel 200 G,Condimentos y especias,KG,17.67,0,
Laurel A Granel 250 G,Condimentos y especias,KG,5.09,0,
Laurel A Granel 400 G,Condimentos y especias,KG,14.88,0,
Laurel A Granel 500 G,Condimentos y especias,KG,17.55,0,
Laurel A Granel 1 Kg,Condimentos y especias,KG,9.19,0,
"Laurel A Granel 2,5 Kg",Condimentos y especias,KG,17.99,0,
Laurel A Granel 5 Kg,Condimentos y especias,KG,1.85,0,
Laurel A Granel 10 Kg,Condimentos y especias,KG,11.04,0,
Laurel Monodosis 100 G,Condimentos y especias,UD,20.26,0,
Laurel Monodosis 200 G,Condimentos y especias,UD,11.76,0,
Laurel Monodosis 250 G,Condimentos y especias,UD,14.18,0,
Laurel Monodosis 400 G,Condimentos y especias,UD,5.28,0,
Laurel Monodosis 500 G,Condimentos y especias,UD,10.33,0,
Laurel Monodosis 1 Kg,Condimentos y especias,UD,19.31,0,
"Laurel Monodosis 2,5 Kg",Condimentos y especias,UD,3.12,0,
Laurel Monodosis 5 Kg,Condimentos y especias,UD,7.59,0,
Laurel Monodosis 10 Kg,Condimentos y especias,UD,6.0,0,
Laurel Molido 100 G,Condimentos y especias,KG,0.99,0,
Laurel Molido 200 G,Condimentos y especias,KG,2.0,0,
Laurel Molido 250 G,Condimentos y especias,KG,23.16,0,
Laurel Molido 400 G,Condimentos y especias,KG,9.08,0,
Laurel Molido 500 G,Condimentos y especias,KG,23.88,0,
Laurel Molido 1 Kg,Condimentos y especias,KG,1.94,0,
"Laurel Molido 2,5 Kg",Condimentos y especias,KG,7.69,0,
Laurel Molido 5 Kg,Condimentos y especias,KG,5.42,0,
Laurel Molido 10 Kg,Condimentos y especias,KG,2.94,0,
Laurel En Grano 100 G,Condimentos y especias,KG,17.21,0,
Laurel En Grano 200 G,Condimentos y especias,KG,21.24,0,
Laurel En Grano 250 G,Condimentos y especias,KG,11.89,0,
Laurel En Grano 400 G,Condimentos y especias,KG,4.12,0,
Laurel En Grano 500 G,Condimentos y especias,KG,19.52,0,
Laurel En Grano 1 Kg,Condimentos y especias,KG,0.51,0,
"Laurel En Grano 2,5 Kg",Condimentos y especias,KG,3.21,0,
Laurel En Grano 5 Kg,Condimentos y especias,KG,4.32,0,
Laurel En Grano 10 Kg,Condimentos y especias,KG,11.47,0,
Canela Bote 100 G,Condimentos y especias,UD,24.83,0,
Canela Bote 200 G,Condimentos y especias,UD,18.51,0,
Canela Bote 250 G,Condimentos y especias,UD,11.98,0,
Canela Bote 400 G,Condimentos y especias,UD,11.26,0,
Canela Bote 500 G,Condimentos y especias,UD,5.72,0,
Canela Bote 1 Kg,Condimentos y especias,UD,23.96,0,
"Canela Bote 2,5 Kg",Condimentos y especias,UD,0.73,0,
Canela Bote 5 Kg,Condimentos y especias,UD,21.9,0,
Canela Bote 10 Kg,Condimentos y especias,UD,19.15,0,
Canela A Granel 100 G,Condimentos y especias,KG,4.87,0,
Canela A Granel 200 G,Condimentos y especias,KG,17.56,0,
Canela A Granel 250 G,Condimentos y especias,KG,4.35,0,
Canela A Granel 400 G,Condimentos y especias,KG,18.16,0,
Canela A Granel 500 G,Condimentos y especias,KG,22.96,0,
Canela A Granel 1 Kg,Condimentos y especias,KG,17.35,0,
"Canela A Granel 2,5 Kg",Condimentos y especias,KG,5.66,0,
Canela A Granel 5 Kg,Condimentos y especias,KG,13.92,0,
Canela A Granel 10 Kg,Condimentos y especias,KG,2.97,0,
Canela Monodosis 100 G,Condimentos y especias,UD,22.76,0,
Canela Monodosis 200 G,Condimentos y especias,UD,10.48,0,
Canela Monodosis 250 G,Condimentos y especias,UD,10.24,0,
Canela Monodosis 400 G,Condimentos y especias,UD,23.36,0,
Canela Monodosis 500 G,Condimentos y especias,UD,4.61,0,
Canela Monodosis 1 Kg,Condimentos y especias,UD,22.15,0,
"Canela Monodosis 2,5 Kg",Condimentos y especias,UD,1.35,0,
Canela Monodosis 5 Kg,Condimentos y especias,UD,18.59,0,
Canela Monodosis 10 Kg,Condimentos y especias,UD,8.14,0,
Canela Molido 100 G,Condimentos y especias,KG,23.79,0,
Canela Molido 200 G,Condimentos y especias,KG,10.21,0,
Canela Molido 250 G,Condimentos y especias,KG,24.61,0,
Canela Molido 400 G,Condimentos y especias,KG,6.19,0,
Canela Molido 500 G,Condimentos y especias,KG,2.14,0,
Canela Molido 1 Kg,Condimentos y especias,KG,13.0,0,
"Canela Molido 2,5 Kg",Condimentos y especias,KG,24.89,0,
Canela Molido 5 Kg,Condimentos y especias,KG,7.18,0,
Canela Molido 10 Kg,Condimentos y especias,KG,12.32,0,
Canela En Grano 100 G,Condimentos y especias,KG,8.72,0,
Canela En Grano 200 G,Condimentos y especias,KG,1.83,0,
Canela En Grano 250 G,Condimentos y especias,KG,7.43,0,
Canela En Grano 400 G,Condimentos y especias,KG,20.27,0,
Canela En Grano 500 G,Condimentos y especias,KG,24.73,0,
Canela En Grano 1 Kg,Condimentos y especias,KG,13.05,0,
"Canela En Grano 2,5 Kg",Condimentos y especias,KG,24.54,0,
Canela En Grano 5 Kg,Condimentos y especias,KG,1.6,0,
Canela En Grano 10 Kg,Condimentos y especias,KG,5.5,0,
Nuez Moscada Bote 100 G,Condimentos y especias,UD,15.7,0,
Nuez Moscada Bote 200 G,Condimentos y especias,UD,10.07,0,
Nuez Moscada Bote 250 G,Condimentos y especias,UD,22.75,0,
Nuez Moscada Bote 400 G,Condimentos y especias,UD,8.35,0,
Nuez Moscada Bote 500 G,Condimentos y especias,UD,19.99,0,
Nuez Moscada Bote 1 Kg,Condimentos y especias,UD,9.1,0,
"Nuez Moscada Bote 2,5 Kg",Condimentos y especias,UD,16.75,0,
Nuez Moscada Bote 5 Kg,Condimentos y especias,UD,5.03,0,
Nuez Moscada Bote 10 Kg,Condimentos y especias,UD,22.8,0,
Nuez Moscada A Granel 100 G,Condimentos y especias,KG,6.32,0,
Nuez Moscada A Granel 200 G,Condimentos y especias,KG,1.22,0,
Nuez Moscada A Granel 250 G,Condimentos y especias,KG,15.78,0,
Nuez Moscada A Granel 400 G,Condimentos y especias,KG,24.77,0,
Nuez Moscada A Granel 500 G,Condimentos y especias,KG,6.05,0,
Nuez Moscada A Granel 1 Kg,Condimentos y especias,KG,21.7,0,
"Nuez Moscada A Granel 2,5 Kg",Condimentos y especias,KG,4.29,0,
Nuez Moscada A Granel 5 Kg,Condimentos y especias,KG,19.38,0,
Nuez Moscada A Granel 10 Kg,Condimentos y especias,KG,1.86,0,
Nuez Moscada Monodosis 100 G,Condimentos y especias,UD,20.44,0,
Nuez Moscada Monodosis 200 G,Condimentos y especias,UD,11.08,0,
Nuez Moscada Monodosis 250 G,Condimentos y especias,UD,11.26,0,
Nuez Moscada Monodosis 400 G,Condimentos y especias,UD,10.45,0,
Nuez Moscada Monodosis 500 G,Condimentos y especias,UD,8.41,0,
Nuez Moscada Monodosis 1 Kg,Condimentos y especias,UD,16.57,0,
"Nuez Moscada Monodosis 2,5 Kg",Condimentos y especias,UD,8.45,0,
Nuez Moscada Monodosis 5 Kg,Condimentos y especias,UD,18.53,0,
Nuez Moscada Monodosis 10 Kg,Condimentos y especias,UD,4.88,0,
Nuez Moscada Molido 100 G,Condimentos y especias,KG,4.34,0,
Nuez Moscada Molido 200 G,Condimentos y especias,KG,24.31,0,
Nuez Moscada Molido 250 G,Condimentos y especias,KG,3.29,0,
Nuez Moscada Molido 400 G,Condimentos y especias,KG,21.63,0,
Nuez Moscada Molido 500 G,Condimentos y especias,KG,24.46,0,
Nuez Moscada Molido 1 Kg,Condimentos y especias,KG,7.3,0,
"Nuez Moscada Molido 2,5 Kg",Condimentos y especias,KG,8.71,0,
Nuez Moscada Molido 5 Kg,Condimentos y especias,KG,17.68,0,
Nuez Moscada Molido 10 Kg,Condimentos y especias,KG,23.65,0,
Nuez Moscada En Grano 100 G,Condimentos y especias,KG,12.76,0,
Nuez Moscada En Grano 200 G,Condimentos y especias,KG,11.14,0,
Nuez Moscada En Grano 250 G,Condimentos y especias,KG,2.3,0,
Nuez Moscada En Grano 400 G,Condimentos y especias,KG,13.98,0,
Nuez Moscada En Grano 500 G,Condimentos y especias,KG,0.79,0,
Nuez Moscada En Grano 1 Kg,Condimentos y especias,KG,14.07,0,
"Nuez Moscada En Grano 2,5 Kg",Condimentos y especias,KG,2.16,0,
Nuez Moscada En Grano 5 Kg,Condimentos y especias,KG,24.41,0,
Nuez Moscada En Grano 10 Kg,Condimentos y especias,KG,13.22,0,
Cúrcuma Bote 100 G,Condimentos y especias,UD,23.86,0,
Cúrcuma Bote 200 G,Condimentos y especias,UD,11.6,0,
Cúrcuma Bote 250 G,Condimentos y especias,UD,5.08,0,
Cúrcuma Bote 400 G,Condimentos y especias,UD,5.98,0,
Cúrcuma Bote 500 G,Condimentos y especias,UD,19.51,0,
Cúrcuma Bote 1 Kg,Condimentos y especias,UD,11.37,0,
"Cúrcuma Bote 2,5 Kg",Condimentos y especias,UD,14.17,0,
Cúrcuma Bote 5 Kg,Condimentos y especias,UD,23.42,0,
Cúrcuma Bote 10 Kg,Condimentos y especias,UD,16.51,0,
Cúrcuma A Granel 100 G,Condimentos y especias,KG,9.93,0,
Cúrcuma A Granel 200 G,Condimentos y especias,KG,9.24,0,
Cúrcuma A Granel 250 G,Condimentos y especias,KG,20.89,0,
Cúrcuma A Granel 400 G,Condimentos y especias,KG,3.77,0,
Cúrcuma A Granel 500 G,Condimentos y especias,KG,3.2,0,
Cúrcuma A Granel 1 Kg,Condimentos y especias,KG,3.42,0,
"Cúrcuma A Granel 2,5 Kg",Condimentos y especias,KG,11.29,0,
Cúrcuma A Granel 5 Kg,Condimentos y especias,KG,24.83,0,
Cúrcuma A Granel 10 Kg,Condimentos y especias,KG,9.02,0,
Cúrcuma Monodosis 100 G,Condimentos y especias,UD,9.45,0,
Cúrcuma Monodosis 200 G,Condimentos y especias,UD,12.69,0,
Cúrcuma Monodosis 250 G,Condimentos y especias,UD,9.42,0,
Cúrcuma Monodosis 400 G,Condimentos y especias,UD,23.95,0,
Cúrcuma Monodosis 500 G,Condimentos y especias,UD,15.76,0,
Cúrcuma Monodosis 1 Kg,Condimentos y especias,UD,9.65,0,
"Cúrcuma Monodosis 2,5 Kg",Condimentos y especias,UD,14.27,0,
Cúrcuma Monodosis 5 Kg,Condimentos y especias,UD,13.52,0,
Cúrcuma Monodosis 10 Kg,Condimentos y especias,UD,22.29,0,
Cúrcuma Molido 100 G,Condimentos y especias,KG,7.04,0,
Cúrcuma Molido 200 G,Condimentos y especias,KG,2.77,0,
Cúrcuma Molido 250 G,Condimentos y especias,KG,19.42,0,
Cúrcuma Molido 400 G,Condimentos y especias,KG,8.92,0,
Cúrcuma Molido 500 G,Condimentos y especias,KG,17.0,0,
Cúrcuma Molido 1 Kg,Condimentos y especias,KG,14.77,0,
"Cúrcuma Molido 2,5 Kg",Condimentos y especias,KG,21.35,0,
Cúrcuma Molido 5 Kg,Condimentos y especias,KG,17.62,0,
Cúrcuma Molido 10 Kg,Condimentos y especias,KG,14.94,0,
Cúrcuma En Grano 100 G,Condimentos y especias,KG,16.57,0,
Cúrcuma En Grano 200 G,Condimentos y especias,KG,23.35,0,
Cúrcuma En Grano 250 G,Condimentos y especias,KG,8.29,0,
Cúrcuma En Grano 400 G,Condimentos y especias,KG,10.23,0,
Cúrcuma En Grano 500 G,Condimentos y especias,KG,4.19,0,
Cúrcuma En Grano 1 Kg,Condimentos y especias,KG,10.28,0,
"Cúrcuma En Grano 2,5 Kg",Condimentos y especias,KG,8.18,0,
Cúrcuma En Grano 5 Kg,Condimentos y especias,KG,1.11,0,
Cúrcuma En Grano 10 Kg,Condimentos y especias,KG,9.88,0,
Curry Bote 100 G,Condimentos y especias,UD,5.08,0,
Curry Bote 200 G,Condimentos y especias,UD,16.81,0,
Curry Bote 250 G,Condimentos y especias,UD,2.04,0,
Curry Bote 400 G,Condimentos y especias,UD,2.64,0,
Curry Bote 500 G,Condimentos y especias,UD,20.11,0,
Curry Bote 1 Kg,Condimentos y especias,UD,23.81,0,
"Curry Bote 2,5 Kg",Condimentos y especias,UD,21.88,0,
Curry Bote 5 Kg,Condimentos y especias,UD,11.45,0,
Curry Bote 10 Kg,Condimentos y especias,UD,23.83,0,
Curry A Granel 100 G,Condimentos y especias,KG,2.35,0,
Curry A Granel 200 G,Condimentos y especias,KG,14.83,0,
Curry A Granel 250 G,Condimentos y especias,KG,12.13,0,
Curry A Granel 400 G,Condimentos y especias,KG,13.26,0,
Curry A Granel 500 G,Condimentos y especias,KG,14.91,0,
Curry A Granel 1 Kg,Condimentos y especias,KG,5.84,0,
"Curry A Granel 2,5 Kg",Condimentos y especias,KG,20.96,0,
Curry A Granel 5 Kg,Condimentos y especias,KG,4.73,0,
Curry A Granel 10 Kg,Condimentos y especias,KG,20.16,0,
Curry Monodosis 100 G,Condimentos y especias,UD,7.04,0,
Curry Monodosis 200 G,Condimentos y especias,UD,21.77,0,
Curry Monodosis 250 G,Condimentos y especias,UD,20.28,0,
Curry Monodosis 400 G,Condimentos y especias,UD,8.69,0,
Curry Monodosis 500 G,Condimentos y especias,UD,16.34,0,
Curry Monodosis 1 Kg,Condimentos y especias,UD,16.89,0,
"Curry Monodosis 2,5 Kg",Condimentos y especias,UD,15.8,0,
Curry Monodosis 5 Kg,Condimentos y especias,UD,12.57,0,
Curry Monodosis 10 Kg,Condimentos y especias,UD,17.35,0,
Curry Molido 100 G,Condimentos y especias,KG,3.24,0,
Curry Molido 200 G,Condimentos y especias,KG,23.48,0,
Curry Molido 250 G,Condimentos y especias,KG,10.71,0,
Curry Molido 400 G,Condimentos y especias,KG,2.68,0,
Curry Molido 500 G,Condimentos y especias,KG,7.29,0,
Curry Molido 1 Kg,Condimentos y especias,KG,9.73,0,
"Curry Molido 2,5 Kg",Condimentos y especias,KG,8.34,0,
Curry Molido 5 Kg,Condimentos y especias,KG,23.49,0,
Curry Molido 10 Kg,Condimentos y especias,KG,20.21,0,
Curry En Grano 100 G,Condimentos y especias,KG,11.07,0,
Curry En Grano 200 G,Condimentos y especias,KG,8.72,0,
Curry En Grano 250 G,Condimentos y especias,KG,4.2,0,
Curry En Grano 400 G,Condimentos y especias,KG,3.96,0,
Curry En Grano 500 G,Condimentos y especias,KG,21.25,0,
Curry En Grano 1 Kg,Condimentos y especias,KG,19.88,0,
"Curry En Grano 2,5 Kg",Condimentos y especias,KG,22.62,0,
Curry En Grano 5 Kg,Condimentos y especias,KG,19.46,0,
Curry En Grano 10 Kg,Condimentos y especias,KG,1.46,0,
Mostaza Bote 100 G,Condimentos y especias,UD,17.07,0,Mostaza
Mostaza Bote 200 G,Condimentos y especias,UD,2.82,0,Mostaza
Mostaza Bote 250 G,Condimentos y especias,UD,24.74,0,Mostaza
Mostaza Bote 400 G,Condimentos y especias,UD,3.13,0,Mostaza
Mostaza Bote 500 G,Condimentos y especias,UD,13.44,0,Mostaza
Mostaza Bote 1 Kg,Condimentos y especias,UD,3.15,0,Mostaza
"Mostaza Bote 2,5 Kg",Condimentos y especias,UD,14.78,0,Mostaza
Mostaza Bote 5 Kg,Condimentos y especias,UD,11.35,0,Mostaza
Mostaza Bote 10 Kg,Condimentos y especias,UD,15.58,0,Mostaza
Mostaza A Granel 100 G,Condimentos y especias,KG,13.61,0,Mostaza
Mostaza A Granel 200 G,Condimentos y especias,KG,1.57,0,Mostaza
Mostaza A Granel 250 G,Condimentos y especias,KG,21.08,0,Mostaza
Mostaza A Granel 400 G,Condimentos y especias,KG,15.23,0,Mostaza
Mostaza A Granel 500 G,Condimentos y especias,KG,24.2,0,Mostaza
Mostaza A Granel 1 Kg,Condimentos y especias,KG,6.65,0,Mostaza
"Mostaza A Granel 2,5 Kg",Condimentos y especias,KG,11.46,0,Mostaza
Mostaza A Granel 5 Kg,Condimentos y especias,KG,19.88,0,Mostaza
Mostaza A Granel 10 Kg,Condimentos y especias,KG,7.9,0,Mostaza
Mostaza Monodosis 100 G,Condimentos y especias,UD,16.82,0,Mostaza
Mostaza Monodosis 200 G,Condimentos y especias,UD,22.97,0,Mostaza
Mostaza Monodosis 250 G,Condimentos y especias,UD,16.37,0,Mostaza
Mostaza Monodosis 400 G,Condimentos y especias,UD,20.56,0,Mostaza
Mostaza Monodosis 500 G,Condimentos y especias,UD,22.1,0,Mostaza
Mostaza Monodosis 1 Kg,Condimentos y especias,UD,20.33,0,Mostaza
"Mostaza Monodosis 2,5 Kg",Condimentos y especias,UD,22.41,0,Mostaza
Mostaza Monodosis 5 Kg,Condimentos y especias,UD,13.13,0,Mostaza
Mostaza Monodosis 10 Kg,Condimentos y especias,UD,12.44,0,Mostaza
Mostaza Molido 100 G,Condimentos y especias,KG,23.19,0,Mostaza
Mostaza Molido 200 G,Condimentos y especias,KG,6.62,0,Mostaza
Mostaza Molido 250 G,Condimentos y especias,KG,18.33,0,Mostaza
Mostaza Molido 400 G,Condimentos y especias,KG,13.27,0,Mostaza
Mostaza Molido 500 G,Condimentos y especias,KG,0.94,0,Mostaza
Mostaza Molido 1 Kg,Condimentos y especias,KG,13.12,0,Mostaza
"Mostaza Molido 2,5 Kg",Condimentos y especias,KG,20.26,0,Mostaza
Mostaza Molido 5 Kg,Condimentos y especias,KG,15.4,0,Mostaza
Mostaza Molido 10 Kg,Condimentos y especias,KG,0.79,0,Mostaza
Mostaza En Grano 100 G,Condimentos y especias,KG,21.39,0,Mostaza
Mostaza En Grano 200 G,Condimentos y especias,KG,22.77,0,Mostaza
Mostaza En Grano 250 G,Condimentos y especias,KG,12.94,0,Mostaza
Mostaza En Grano 400 G,Condimentos y especias,KG,13.89,0,Mostaza
Mostaza En Grano 500 G,Condimentos y especias,KG,7.06,0,Mostaza
Mostaza En Grano 1 Kg,Condimentos y especias,KG,5.22,0,Mostaza
"Mostaza En Grano 2,5 Kg",Condimentos y especias,KG,7.42,0,Mostaza
Mostaza En Grano 5 Kg,Condimentos y especias,KG,21.06,0,Mostaza
Mostaza En Grano 10 Kg,Condimentos y especias,KG,8.83,0,Mostaza
Salsa De Soja Bote 100 G,Condimentos y especias,UD,1.32,0,"Soja,Gluten"
Salsa De Soja Bote 200 G,Condimentos y especias,UD,21.05,0,"Soja,Gluten"
Salsa De Soja Bote 250 G,Condimentos y especias,UD,3.25,0,"Soja,Gluten"
Salsa De Soja Bote 400 G,Condimentos y especias,UD,18.18,0,"Soja,Gluten"
Salsa De Soja Bote 500 G,Condimentos y especias,UD,1.68,0,"Soja,Gluten"
Salsa De Soja Bote 1 Kg,Condimentos y especias,UD,9.73,0,"Soja,Gluten"
"Salsa De Soja Bote 2,5 Kg",Condimentos y especias,UD,23.75,0,"Soja,Gluten"
Salsa De Soja Bote 5 Kg,Condimentos y especias,UD,5.92,0,"Soja,Gluten"
Salsa De Soja Bote 10 Kg,Condimentos y especias,UD,23.95,0,"Soja,Gluten"
Salsa De Soja A Granel 100 G,Condimentos y especias,KG,13.2,0,"Soja,Gluten"
Salsa De Soja A Granel 200 G,Condimentos y especias,KG,20.68,0,"Soja,Gluten"
Salsa De Soja A Granel 250 G,Condimentos y especias,KG,11.09,0,"Soja,Gluten"
Salsa De Soja A Granel 400 G,Condimentos y especias,KG,20.15,0,"Soja,Gluten"
Salsa De Soja A Granel 500 G,Condimentos y especias,KG,14.96,0,"Soja,Gluten"
Salsa De Soja A Granel 1 Kg,Condimentos y especias,KG,16.05,0,"Soja,Gluten"
"Salsa De Soja A Granel 2,5 Kg",Condimentos y especias,KG,24.06,0,"Soja,Gluten"
Salsa De Soja A Granel 5 Kg,Condimentos y especias,KG,19.56,0,"Soja,Gluten"
Salsa De Soja A Granel 10 Kg,Condimentos y especias,KG,24.99,0,"Soja,Gluten"
